31,31,1,1,1,2,2.550000e+00,1.0,30.0,--,--,--,299.53555,7.0,300.27417,0.7386218,300.37454,4.211378,304.58887,6.0,304.589,305.59412,6.058552,305.59424,307.59644,--
32,32,4,2,1,1,2.550000e+00,1.0,31.0,--,--,--,307.78305,2.0,309.1407,1.3576148,309.24106,3.5923853,312.83612,1.0,312.83624,313.841,6.0579524,313.84116,314.84357,--
33,33,1,1,1,2,2.550000e+00,1.0,32.0,--,--,--,314.84637,7.0,316.707,1.8606384,316.80737,3.0893617,319.899,6.0,319.8991,320.90353,6.057166,320.9037,322.90652,--
34,34,3,1,3,1,1.700000e+00,1.0,33.0,--,--,--,322.90833,2.0,324.97382,2.0654798,325.0742,2.0345201,327.11008,9.0,327.1102,328.11478,5.20645,328.11493,329.11624,--
35,35,3,1,3,1,8.500000e-01,1.0,34.0,--,--,--,329.11838,2.0,330.25748,1.1391006,330.35785,2.1108994,332.47098,8.0,332.47107,333.47504,4.3566523,333.4752,334.47647,--
36,36,4,2,1,1,2.550000e+00,1.0,35.0,--,--,--,334.666,7.0,335.39148,0.7255016,335.49185,4.2244983,339.71823,8.0,339.71835,340.723,6.056989,340.7231,341.72495,--
37,37,6,2,3,4,8.500000e-01,1.0,36.0,--,--,--,341.90903,2.0,343.05753,1.1484786,343.1579,2.1015215,345.26175,7.0,345.26187,346.2671,4.358052,346.26724,350.26886,--
38,38,5,2,2,3,8.500000e-01,1.0,37.0,--,--,--,350.45267,2.0,351.1907,0.7380156,351.29108,2.5119843,353.80487,5.0,353.805,354.81003,4.3573604,354.81018,357.81195,--
39,39,2,1,2,4,1.700000e+00,1.0,38.0,--,--,--,357.81476,7.0,358.5404,0.7256452,358.64078,3.3743548,362.01764,5.0,362.01776,363.02112,5.206358,363.02127,367.02295,--
40,40,2,1,2,2,1.700000e+00,1.0,39.0,--,--,--,367.02457,2.0,367.75717,0.7326193,367.8577,3.3673806,371.2271,5.0,371.22723,372.2315,5.206939,372.23166,374.2331,--
41,41,3,1,3,2,8.500000e-01,1.0,40.0,--,--,--,374.23483,2.0,376.20734,1.9725094,376.3077,1.2774906,377.58798,9.0,377.5881,378.59302,4.3581915,378.59317,380.59546,--
42,42,3,1,3,1,8.500000e-01,1.0,41.0,--,--,--,380.59717,2.0,381.53995,0.9427669,381.64032,2.307233,383.94983,6.0,383.94995,384.95496,4.3577895,384.9551,385.95648,--
43,43,2,1,2,2,2.550000e+00,1.0,42.0,--,--,--,385.95813,7.0,386.99182,1.0336823,387.0922,3.9163177,391.01016,5.0,391.01028,392.0148,6.056664,392.01495,394.01785,--
44,44,1,1,1,2,1.700000e+00,1.0,43.0,--,--,--,394.0195,2.0,394.64203,0.62254,394.74246,3.47746,398.22195,1.0,398.22208,399.22662,5.207133,399.22678,401.22803,--
45,45,1,1,1,3,2.550000e+00,1.0,44.0,--,--,--,401.22968,7.0,402.37363,1.1439668,402.474,3.8060331,406.28308,8.0,406.2832,407.28687,6.057213,407.28702,410.28894,--
46,46,3,1,3,1,1.700000e+00,1.0,45.0,--,--,--,410.29062,2.0,411.44064,1.1500229,411.54102,2.9499772,414.49298,9.0,414.49307,415.49796,5.207339,415.4981,416.49985,--
47,47,6,2,3,4,1.700000e+00,1.0,46.0,--,--,--,416.68625,2.0,418.65714,1.9708883,418.7575,2.1291118,420.8901,6.0,420.89023,421.89392,5.2076926,421.89407,425.89612,--
48,48,1,1,1,1,8.500000e-01,1.0,47.0,--,--,--,425.8989,7.0,426.7406,0.841717,426.84097,2.408283,429.25195,6.0,429.25208,430.25705,4.3581705,430.2572,431.25955,--
49,49,1,1,1,2,2.550000e+00,1.0,48.0,--,--,--,431.2612,7.0,432.92383,1.6626288,433.0242,3.2873712,436.31403,8.0,436.31415,437.3188,6.0575857,437.31894,439.3201,--
50,50,4,2,1,3,2.550000e+00,1.0,49.0,--,--,--,439.50888,7.0,440.65714,1.1482697,440.7575,3.8017304,444.5614,8.0,444.56152,445.56604,6.057155,445.5662,448.56757,--
51,51,5,2,2,1,2.550000e+00,1.0,50.0,--,--,--,448.7528,7.0,450.50693,1.754106,450.60733,3.195894,453.80508,5.0,453.8052,454.80997,6.0571613,454.81012,455.81152,--
52,52,3,1,3,4,1.700000e+00,1.0,51.0,--,--,--,455.81433,2.0,457.5735,1.7591536,457.67383,2.3408463,460.01666,6.0,460.01678,461.0221,5.207768,461.02225,465.02396,--
53,53,4,2,1,1,8.500000e-01,1.0,52.0,--,--,--,465.21814,2.0,465.85663,0.6384928,465.95703,2.6115072,468.56967,4.0,468.5698,469.57498,4.3568583,469.57513,470.5765,--
54,54,6,2,3,4,1.700000e+00,1.0,53.0,--,--,--,470.7649,2.0,472.22363,1.4587507,472.324,2.6412494,474.96802,8.0,474.96814,475.97308,5.208198,475.97327,479.97504,483.97647
